brand,outbound_responses,inbound_customer_messages,total_tweets,dm_request_ratio,link_ratio,apology_ratio
AmazonHelp,169840,189132,358973,0.025,0.492,0.235
AppleSupport,106860,119895,226755,0.526,0.757,0.005
Uber_Support,56270,65924,122194,0.367,0.533,0.196
SpotifyCares,43265,45180,88445,0.318,0.52,0.047
Delta,42253,41529,83786,0.164,0.164,0.232
Tesco,38573,30093,68670,0.269,0.12,0.272
AmericanAir,36764,45314,82078,0.191,0.07,0.173
TMobileHelp,34317,38782,73099,0.829,0.486,0.012
comcastcares,33031,34175,67206,0.713,0.058,0.145
British_Airways,29361,29255,58616,0.141,0.092,0.269
SouthwestAir,28977,33211,62188,0.179,0.174,0.185
VirginTrains,27817,33851,61688,0.029,0.144,0.125
Ask_Spectrum,25860,28921,54781,0.463,0.4,0.397
XboxSupport,24557,25842,50399,0.214,0.414,0.036
sprintcare,22381,24364,46745,0.466,0.192,0.062
