Confidence_Threshold,Coverage_AutoHandle_Rate,False_AutoHandle_Rate_Risk,Trustworthy_Automation_Rate,Decision_Accuracy,TP_Auto,FP_Auto,FN_Auto,TN_Esc
0.1,0.5,0.49,0.255,0.57,51,49,37,63
0.15,0.5,0.49,0.255,0.57,51,49,37,63
0.2,0.5,0.49,0.255,0.57,51,49,37,63
0.25,0.5,0.49,0.255,0.57,51,49,37,63
0.3,0.5,0.49,0.255,0.57,51,49,37,63
0.35,0.5,0.49,0.255,0.57,51,49,37,63
0.4,0.44,0.5,0.22,0.56,44,44,44,68
0.45,0.44,0.5,0.22,0.56,44,44,44,68
0.5,0.44,0.5,0.22,0.56,44,44,44,68
0.55,0.44,0.5,0.22,0.56,44,44,44,68
0.6,0.435,0.5057,0.215,0.555,43,44,45,68
0.65,0.4,0.5125,0.195,0.55,39,41,49,71
0.7,0.375,0.52,0.18,0.545,36,39,52,73
0.75,0.285,0.4561,0.155,0.585,31,26,57,86
0.8,0.005,0.0,0.005,0.565,1,0,87,112
0.85,0.005,0.0,0.005,0.565,1,0,87,112
0.9,0.005,0.0,0.005,0.565,1,0,87,112
